id_celda,sitio,tecnologia,banda_mhz,tipo_sector,partido_comuna,comuna,localidad,provincia,region,subregion,cabecera
CBA001O,BA001,2G,850,Outdoor,AYACUCHO,0,AYACUCHO,BUENOS AIRES,INT,S,ATLÁNTICA
CBA002O,BA002,2G,850,Outdoor,NECOCHEA,0,JUAN N. FERNANDEZ,BUENOS AIRES,INT,S,ATLÁNTICA
CBA003A,BA003,2G,850,Outdoor,LOBERIA,0,LOBERIA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA003B,BA003,2G,850,Outdoor,LOBERIA,0,LOBERIA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA003C,BA003,2G,850,Outdoor,LOBERIA,0,LOBERIA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA004A,BA004,2G,850,Outdoor,NECOCHEA,0,NECOCHEA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA004B,BA004,2G,850,Outdoor,NECOCHEA,0,NECOCHEA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA004C,BA004,2G,850,Outdoor,NECOCHEA,0,NECOCHEA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA005C,BA005,2G,850,Outdoor,NECOCHEA,0,RAMON SANTAMARINA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA005O,BA005,2G,850,Outdoor,NECOCHEA,0,RAMON SANTAMARINA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA006B,BA006,2G,850,Outdoor,RAUCH,0,RAUCH,BUENOS AIRES,INT,S,ATLÁNTICA
CBA006C,BA006,2G,850,Outdoor,RAUCH,0,RAUCH,BUENOS AIRES,INT,S,ATLÁNTICA
CBA006O,BA006,2G,850,Outdoor,RAUCH,0,RAUCH,BUENOS AIRES,INT,S,ATLÁNTICA
CBA007O,BA007,2G,850,Outdoor,LOBERIA,0,SAN MANUEL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA008A,BA008,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA008B,BA008,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA008C,BA008,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA009A,BA009,2G,850,Outdoor,TANDIL,0,MARIA IGNACIA (ESTACION VELA),BUENOS AIRES,INT,S,ATLÁNTICA
CBA009B,BA009,2G,850,Outdoor,TANDIL,0,MARIA IGNACIA (ESTACION VELA),BUENOS AIRES,INT,S,ATLÁNTICA
CBA009C,BA009,2G,850,Outdoor,TANDIL,0,MARIA IGNACIA (ESTACION VELA),BUENOS AIRES,INT,S,ATLÁNTICA
CBA011A,BA011,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA011B,BA011,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA011C,BA011,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA012A,BA012,2G,850,Outdoor,NECOCHEA,0,NECOCHEA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA012C,BA012,2G,850,Outdoor,NECOCHEA,0,NECOCHEA,BUENOS AIRES,INT,S,ATLÁNTICA
CBA016A,BA016,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA016B,BA016,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA016C,BA016,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA017O,BA017,2G,850,Outdoor,BALCARCE,0,BALCARCE,BUENOS AIRES,INT,S,ATLÁNTICA
CBA018A,BA018,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA018B,BA018,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA018C,BA018,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA020A,BA020,2G,850,Outdoor,NECOCHEA,0,QUEQUEN,BUENOS AIRES,INT,S,ATLÁNTICA
CBA020B,BA020,2G,850,Outdoor,NECOCHEA,0,QUEQUEN,BUENOS AIRES,INT,S,ATLÁNTICA
CBA020C,BA020,2G,850,Outdoor,NECOCHEA,0,QUEQUEN,BUENOS AIRES,INT,S,ATLÁNTICA
CBA021A,BA021,2G,850,Outdoor,AYACUCHO,0,AYACUCHO,BUENOS AIRES,INT,S,ATLÁNTICA
CBA021B,BA021,2G,850,Outdoor,AYACUCHO,0,AYACUCHO,BUENOS AIRES,INT,S,ATLÁNTICA
CBA029A,BA029,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA029C,BA029,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA030A,BA030,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA030B,BA030,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA030C,BA030,2G,850,Outdoor,TANDIL,0,TANDIL,BUENOS AIRES,INT,S,ATLÁNTICA
CBA047A,BA047,2G,850,Outdoor,RAUCH,0,RAUCH,BUENOS AIRES,INT,S,ATLÁNTICA
CBA048A,BA048,2G,850,Outdoor,RAUCH,0,RAUCH,BUENOS AIRES,INT,S,ATLÁNTICA
CBA048C,BA048,2G,850,Outdoor,RAUCH,0,RAUCH,BUENOS AIRES,INT,S,ATLÁNTICA
CBB007O,BB007,2G,850,Outdoor,CORONEL DORREGO,0,APARICIO,BUENOS AIRES,INT,S,PATAGONIA
CBB009O,BB009,2G,850,Outdoor,PUAN,0,DARREGUEIRA,BUENOS AIRES,INT,S,PATAGONIA
CBB010O,BB010,2G,850,Outdoor,SAAVEDRA,0,SAAVEDRA,BUENOS AIRES,INT,S,PATAGONIA
CBB011A,BB011,2G,850,Outdoor,BAHIA BLANCA,0,BAHIA BLANCA,BUENOS AIRES,INT,S,PATAGONIA
CBB011B,BB011,2G,850,Outdoor,BAHIA BLANCA,0,BAHIA BLANCA,BUENOS AIRES,INT,S,PATAGONIA
CBB011C,BB011,2G,850,Outdoor,BAHIA BLANCA,0,BAHIA BLANCA,BUENOS AIRES,INT,S,PATAGONIA
CBB013O,BB013,2G,850,Outdoor,CORONEL DE MARINA L. ROSALES,0,BAJO HONDO,BUENOS AIRES,INT,S,PATAGONIA
CBB015B,BB015,2G,850,Indoor,CORONEL DORREGO,0,EL PERDIDO (ESTACION JOSE A. GUISASOLA),BUENOS AIRES,INT,S,PATAGONIA
CBB016A,BB016,2G,850,Outdoor,PATAGONES,0,CARMEN DE PATAGONES,BUENOS AIRES,INT,S,PATAGONIA
CBB016B,BB016,2G,850,Outdoor,PATAGONES,0,CARMEN DE PATAGONES,BUENOS AIRES,INT,S,PATAGONIA
CBB016C,BB016,2G,850,Outdoor,PATAGONES,0,CARMEN DE PATAGONES,BUENOS AIRES,INT,S,PATAGONIA
CBB017B,BB017,2G,850,Outdoor,BAHIA BLANCA,0,CABILDO,BUENOS AIRES,INT,S,PATAGONIA
CBB019A,BB019,2G,850,Outdoor,ADOLFO ALSINA,0,CARHUE,BUENOS AIRES,INT,S,PATAGONIA
CBB019B,BB019,2G,850,Outdoor,ADOLFO ALSINA,0,CARHUE,BUENOS AIRES,INT,S,PATAGONIA
CBB022B,BB022,2G,850,Outdoor,CORONEL DORREGO,0,CORONEL DORREGO,BUENOS AIRES,INT,S,PATAGONIA
CBB022O,BB022,2G,850,Outdoor,CORONEL DORREGO,0,CORONEL DORREGO,BUENOS AIRES,INT,S,PATAGONIA
CBB023A,BB023,2G,850,Outdoor,CORONEL PRINGLES,0,CORONEL PRINGLES (ESTACION PRINGLES),BUENOS AIRES,INT,S,PATAGONIA
CBB023B,BB023,2G,850,Outdoor,CORONEL PRINGLES,0,CORONEL PRINGLES (ESTACION PRINGLES),BUENOS AIRES,INT,S,PATAGONIA
CBB023C,BB023,2G,850,Outdoor,CORONEL PRINGLES,0,CORONEL PRINGLES (ESTACION PRINGLES),BUENOS AIRES,INT,S,PATAGONIA
CBB024A,BB024,2G,850,Outdoor,CORONEL SUAREZ,0,CORONEL SUAREZ,BUENOS AIRES,INT,S,PATAGONIA
CBB024B,BB024,2G,850,Outdoor,CORONEL SUAREZ,0,CORONEL SUAREZ,BUENOS AIRES,INT,S,PATAGONIA
CBB024C,BB024,2G,850,Outdoor,CORONEL SUAREZ,0,CORONEL SUAREZ,BUENOS AIRES,INT,S,PATAGONIA
CBB025O,BB025,2G,850,Outdoor,SAAVEDRA,0,ESPARTILLAR,BUENOS AIRES,INT,S,PATAGONIA
CBB026O,BB026,2G,850,Outdoor,PUAN,0,FELIPE SOLA,BUENOS AIRES,INT,S,PATAGONIA
CBB027A,BB027,2G,850,Outdoor,GUAMINI,0,GUAMINI,BUENOS AIRES,INT,S,PATAGONIA
CBB027B,BB027,2G,850,Outdoor,GUAMINI,0,GUAMINI,BUENOS AIRES,INT,S,PATAGONIA
